inggrisa,alproa,aljabarlinear,fisikadasar,kalkulusa,aptia,inggrisb,alprob,kalkulusb,aptib,statistika,pemdas,pemdasprak,pemweb,pemwebprak,pbo,pboprak,sbd,sbdprak,sd,sdprak,jarkom,jarkomprak,matdis,mpa,sbdl,sbdlprak,sc,tbo,konsentrasi
B,B,B,B,C,A,B,B,B,B,C,A,A,A,A,A,A,C,B,B,A,A,A,C,B,A,B,B,C,0
B,D,C,C,C,B,C,C,C,E,C,,C,B,B,C,B,D,C,C,B,B,C,B,C,D,D,C,E,2
B,D,B,B,B,A,B,A,B,B,C,C,B,B,B,B,A,C,B,B,A,A,B,C,B,A,C,B,B,0
B,D,C,B,C,A,C,C,C,C,C,C,C,A,,B,,A,A,A,C,A,A,C,C,B,B,C,C,0
B,D,C,C,C,B,B,C,B,B,C,B,C,C,A,C,A,C,C,C,A,A,A,C,C,B,A,C,C,0
B,A,A,A,B,A,B,C,B,C,B,B,B,B,A,A,A,B,B,B,A,A,A,B,B,A,C,B,C,0
A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,B,1
B,B,B,A,B,A,C,B,A,B,C,A,A,B,A,B,A,B,B,B,A,D,C,C,D,B,A,C,C,0
A,B,A,A,B,A,B,B,A,A,B,B,B,B,A,A,A,B,B,B,A,A,A,B,A,A,B,B,D,1
B,A,A,A,B,A,B,C,A,B,B,A,B,B,A,A,A,A,C,B,A,A,A,A,B,A,B,B,C,1
B,C,C,C,C,B,B,C,C,C,B,C,E,C,B,B,B,C,B,C,A,A,C,C,C,B,B,C,C,0
A,C,B,B,C,A,B,C,B,B,B,A,B,B,B,A,A,B,C,B,A,A,B,B,B,A,C,B,C,0
D,E,D,C,D,E,C,E,D,E,E,E,E,,,E,,E,,,,E,E,E,,,,E,D,1
B,D,D,C,C,C,D,E,E,E,D,E,E,C,E,E,,D,D,D,,E,E,E,E,D,E,E,,0
A,D,B,A,B,B,B,B,B,B,C,B,B,A,A,B,A,B,C,B,A,A,A,B,C,A,A,B,C,0
B,A,A,B,A,A,B,C,B,B,B,A,B,A,A,A,A,B,B,B,A,B,A,B,B,A,A,A,C,1
B,D,C,B,C,B,C,C,C,C,C,B,C,B,A,C,C,C,C,B,A,A,C,B,B,B,C,C,D,2
B,B,A,B,B,A,B,B,C,C,B,A,A,A,A,B,A,B,B,B,A,A,A,B,B,A,B,A,B,0
B,D,C,B,C,B,C,D,C,C,C,C,C,B,A,B,B,C,C,C,,A,A,C,C,B,A,B,C,2
B,C,C,B,B,B,B,B,B,B,C,C,C,B,B,B,A,C,C,C,A,A,C,C,B,B,B,B,B,0
A,B,A,A,B,C,C,,B,B,C,A,,A,B,C,D,B,D,C,B,A,C,D,D,C,C,D,D,2
B,C,C,C,C,B,B,E,C,A,C,B,D,B,A,B,A,B,B,B,A,A,C,D,C,A,B,D,D,1
B,C,C,C,B,B,B,C,B,C,C,D,C,B,B,B,A,C,C,B,A,A,A,B,C,A,B,B,D,0
B,D,B,B,B,B,B,C,B,B,B,C,C,B,B,B,B,C,B,C,A,A,C,B,B,B,A,B,D,0
B,C,B,B,C,C,B,C,B,D,C,C,C,B,A,C,D,C,C,C,A,B,B,B,C,D,C,B,D,2
A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,B,A,C,1
B,A,A,B,B,A,B,B,C,B,B,A,A,A,A,B,A,B,B,B,A,A,A,B,B,A,A,B,B,1
B,B,B,B,B,B,B,B,C,B,C,C,B,A,A,A,A,C,B,B,A,A,A,B,B,A,A,C,B,1
B,D,C,C,B,A,B,C,B,B,B,D,C,B,B,B,A,C,C,C,A,A,C,C,C,B,C,B,C,2
B,C,B,B,B,B,C,B,C,C,C,C,C,B,A,C,B,C,C,C,A,B,B,D,C,B,A,C,E,0
B,C,C,C,C,B,B,B,C,C,C,C,A,B,A,A,A,A,B,B,A,A,A,C,B,A,B,B,D,0
B,B,C,C,D,C,B,D,C,C,C,C,E,C,D,C,B,D,D,D,,B,D,C,,E,,E,D,1
A,A,A,A,A,B,B,E,C,E,E,D,E,A,B,,,B,,B,D,E,E,B,C,E,E,C,D,2
B,D,C,C,C,A,C,D,C,C,D,E,D,C,C,E,,D,D,D,,E,E,,D,D,E,E,E,2
A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,1
B,D,C,C,C,C,C,D,C,D,D,D,C,C,C,E,,D,D,D,,E,E,C,C,C,E,C,E,2
B,D,C,C,C,B,B,D,C,B,C,C,A,B,A,B,B,B,C,C,A,A,B,C,C,B,C,C,C,0
B,B,B,C,B,B,C,C,B,B,C,B,A,A,A,B,A,C,C,C,A,A,B,C,C,A,A,C,E,2
B,D,C,C,D,B,B,C,C,D,C,C,A,B,B,B,C,C,C,C,B,B,B,D,C,B,B,C,C,0
A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,0
A,A,A,A,B,B,C,C,B,B,B,A,A,A,A,B,A,A,B,B,A,A,A,B,B,A,C,B,C,0
A,C,A,B,C,B,B,C,C,A,C,A,B,B,B,D,B,D,D,D,B,B,B,C,D,A,B,B,E,2
B,A,B,B,B,B,B,C,C,B,D,C,A,B,A,B,B,C,B,C,A,A,B,B,B,A,A,B,D,1
B,B,A,B,B,B,K,E,D,C,E,E,C,A,A,A,A,C,A,B,A,A,A,B,A,B,B,B,A,1
A,A,A,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,B,B,A,A,C,A,B,A,C,A,B,1
A,A,B,B,B,B,B,B,B,B,B,D,B,,A,C,E,,C,B,A,,,B,D,A,A,C,C,1
A,C,A,C,C,B,B,B,B,A,C,A,B,A,A,A,A,C,B,B,A,A,B,C,B,A,B,B,D,0
A,C,B,A,B,A,B,C,C,A,D,D,B,A,A,A,A,B,A,C,A,A,A,A,A,A,A,B,B,1
A,B,A,A,A,B,B,C,A,A,B,A,A,A,A,A,A,A,A,A,A,B,B,A,B,B,A,A,C,1
B,B,A,C,B,B,B,A,B,C,A,C,A,A,A,A,A,C,B,C,A,A,A,B,B,A,B,B,B,2
B,A,B,C,C,B,B,C,C,B,C,A,A,B,A,B,A,C,C,C,A,B,C,C,C,A,D,C,C,2
B,C,B,C,C,B,B,C,B,A,C,B,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,B,C,0
A,B,A,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,B,C,A,A,A,B,A,A,C,B,B,1
B,C,A,B,B,B,C,B,C,B,C,A,A,A,A,A,A,C,C,A,A,B,B,B,B,B,B,C,D,1
C,B,B,C,B,B,B,C,C,B,B,D,B,B,A,B,A,C,C,C,B,B,C,C,B,B,B,B,C,0
B,A,A,B,A,B,B,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,B,A,A,1
C,A,A,B,C,B,C,A,C,A,A,C,B,B,B,B,A,B,C,B,B,D,C,B,C,B,B,B,C,0
C,D,C,C,C,C,C,B,C,D,C,D,,B,B,C,E,C,D,C,E,B,C,B,B,C,A,,B,0
B,B,C,C,D,C,C,B,C,C,B,D,B,B,A,B,A,C,C,C,B,A,B,C,B,B,B,C,D,2
C,B,B,C,C,C,B,C,B,B,B,D,A,B,B,B,A,B,B,C,A,A,B,B,A,B,B,A,A,2
B,B,B,B,B,B,B,C,B,B,B,B,A,A,A,A,A,C,B,B,A,A,B,C,A,B,A,A,A,0
B,B,A,B,B,A,B,B,B,B,B,C,A,B,A,B,A,B,C,B,A,A,B,C,B,A,A,A,B,0
C,D,C,C,D,D,C,D,D,C,D,D,C,,,C,A,C,C,D,D,C,C,,B,C,E,,D,2
C,B,A,B,B,B,B,B,B,A,B,A,B,A,A,A,A,B,B,B,A,A,A,B,A,A,B,B,B,2
C,B,A,A,A,A,B,B,B,B,A,C,B,A,A,B,B,C,B,C,A,B,B,B,C,C,B,B,D,2
C,C,B,B,C,C,B,C,C,D,C,D,C,A,A,B,B,C,B,C,A,B,C,B,B,B,A,B,B,0
C,B,B,B,B,C,C,D,C,C,B,C,C,B,C,B,B,C,D,C,A,E,B,D,D,E,E,E,,0
B,B,C,C,D,C,C,C,B,C,C,C,A,B,A,B,B,C,C,B,A,B,A,B,D,C,B,D,D,0
B,A,A,A,A,B,C,B,A,A,A,A,A,A,B,A,A,B,B,A,A,C,B,A,B,B,B,C,A,1
A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,B,A,A,A,A,A,1
B,A,A,A,A,B,B,B,A,B,A,B,B,B,A,B,B,B,B,C,B,A,B,B,B,A,A,B,A,2
